Group,Subgroup,Code,Desc,Category
A00,1,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera
A00,9,A009,"Cholera, unspecified",Cholera
A01,00,A0100,"Typhoid fever, unspecified",Typhoid fever
A01,01,A0101,Typhoid meningitis,Typhoid fever
A01,02,A0102,Typhoid fever with heart involvement,Typhoid fever
A01,03,A0103,Typhoid pneumonia,Typhoid fever
A01,04,A0104,Typhoid arthritis,Typhoid fever
A01,05,A0105,Typhoid osteomyelitis,Typhoid fever
A01,09,A0109,Typhoid fever with other complications,Typhoid fever
A01,1,A011,Paratyphoid fever A,Paratyphoid fever A
A01,2,A012,Paratyphoid fever B,Paratyphoid fever B
A01,3,A013,Paratyphoid fever C,Paratyphoid fever C
A01,4,A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
A02,0,A020,Salmonella enteritis,Other salmonella infections
A02,1,A021,Salmonella sepsis,Other salmonella infections
A02,20,A0220,"Localized salmonella infection, unspecified",Localized salmonella infections
A02,21,A0221,Salmonella meningitis,Localized salmonella infections
A02,22,A0222,Salmonella pneumonia,Localized salmonella infections
A02,23,A0223,Salmonella arthritis,Localized salmonella infections
A02,24,A0224,Salmonella osteomyelitis,Localized salmonella infections
A02,25,A0225,Salmonella pyelonephritis,Localized salmonella infections
A02,29,A0229,Salmonella with other localized infection,Localized salmonella infections
A02,8,A028,Other specified salmonella infections,Other specified salmonella infections
A02,9,A029,"Salmonella infection, unspecified","Salmonella infection, unspecified"
A03,0,A030,Shigellosis due to Shigella dysenteriae,Shigellosis
A03,1,A031,Shigellosis due to Shigella flexneri,Shigellosis
A03,2,A032,Shigellosis due to Shigella boydii,Shigellosis
A03,3,A033,Shigellosis due to Shigella sonnei,Shigellosis
A03,8,A038,Other shigellosis,Shigellosis
A03,9,A039,"Shigellosis, unspecified",Shigellosis
A04,0,A040,Enteropathogenic Escherichia coli infection,Other bacterial intestinal infections
A04,1,A041,Enterotoxigenic Escherichia coli infection,Other bacterial intestinal infections
A04,2,A042,Enteroinvasive Escherichia coli infection,Other bacterial intestinal infections
A04,3,A043,Enterohemorrhagic Escherichia coli infection,Other bacterial intestinal infections
A04,4,A044,Other intestinal Escherichia coli infections,Other bacterial intestinal infections
A04,5,A045,Campylobacter enteritis,Other bacterial intestinal infections
A04,6,A046,Enteritis due to Yersinia enterocolitica,Other bacterial intestinal infections
A04,71,A0471,"Enterocolitis due to Clostridium difficile, recurrent",Enterocolitis due to Clostridium difficile
A04,72,A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",Enterocolitis due to Clostridium difficile
A04,8,A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections
A04,9,A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified"
A05,0,A050,Foodborne staphylococcal intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,1,A051,Botulism food poisoning,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,2,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,3,A053,Foodborne Vibrio parahaemolyticus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,4,A054,Foodborne Bacillus cereus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,5,A055,Foodborne Vibrio vulnificus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,8,A058,Other specified bacterial foodborne intoxications,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,9,A059,"Bacterial foodborne intoxication, unspecified","Other bacterial foodborne intoxications, not elsewhere classified"
A06,0,A060,Acute amebic dysentery,Amebiasis
A06,1,A061,Chronic intestinal amebiasis,Amebiasis
A06,2,A062,Amebic nondysenteric colitis,Amebiasis
A06,3,A063,Ameboma of intestine,Amebiasis
A06,4,A064,Amebic liver abscess,Amebiasis
A06,5,A065,Amebic lung abscess,Amebiasis
A06,6,A066,Amebic brain abscess,Amebiasis
A06,7,A067,Cutaneous amebiasis,Amebiasis
A06,81,A0681,Amebic cystitis,Amebic infection of other sites
A06,82,A0682,Other amebic genitourinary infections,Amebic infection of other sites
A06,89,A0689,Other amebic infections,Amebic infection of other sites
A06,9,A069,"Amebiasis, unspecified","Amebiasis, unspecified"
A07,0,A070,Balantidiasis,Other protozoal intestinal diseases
A07,1,A071,Giardiasis [lambliasis],Other protozoal intestinal diseases
A07,2,A072,Cryptosporidiosis,Other protozoal intestinal diseases
A07,3,A073,Isosporiasis,Other protozoal intestinal diseases
A07,4,A074,Cyclosporiasis,Other protozoal intestinal diseases
A07,8,A078,Other specified protozoal intestinal diseases,Other protozoal intestinal diseases
A07,9,A079,"Protozoal intestinal disease, unspecified",Other protozoal intestinal diseases
A08,0,A080,Rotaviral enteritis,Viral and other specified intestinal infections
A08,11,A0811,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A08,19,A0819,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A08,2,A082,Adenoviral enteritis,Adenoviral enteritis
A08,31,A0831,Calicivirus enteritis,Other viral enteritis
A08,32,A0832,Astrovirus enteritis,Other viral enteritis
A08,39,A0839,Other viral enteritis,Other viral enteritis
A08,4,A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified"
A08,8,A088,Other specified intestinal infections,Other specified intestinal infections
A09,,A09,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
A15,0,A150,Tuberculosis of lung,Respiratory tuberculosis
A15,4,A154,Tuberculosis of intrathoracic lymph nodes,Respiratory tuberculosis
A15,5,A155,"Tuberculosis of larynx, trachea and bronchus",Respiratory tuberculosis
A15,6,A156,Tuberculous pleurisy,Respiratory tuberculosis
A15,7,A157,Primary respiratory tuberculosis,Respiratory tuberculosis
A15,8,A158,Other respiratory tuberculosis,Respiratory tuberculosis
A15,9,A159,Respiratory tuberculosis unspecified,Respiratory tuberculosis
A17,0,A170,Tuberculous meningitis,Tuberculosis of nervous system
A17,1,A171,Meningeal tuberculoma,Tuberculosis of nervous system
A17,81,A1781,Tuberculoma of brain and spinal cord,Other tuberculosis of nervous system
A17,82,A1782,Tuberculous meningoencephalitis,Other tuberculosis of nervous system
A17,83,A1783,Tuberculous neuritis,Other tuberculosis of nervous system
A17,89,A1789,Other tuberculosis of nervous system,Other tuberculosis of nervous system
A17,9,A179,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified"
A18,01,A1801,Tuberculosis of spine,Tuberculosis of bones and joints
A18,02,A1802,Tuberculous arthritis of other joints,Tuberculosis of bones and joints
A18,03,A1803,Tuberculosis of other bones,Tuberculosis of bones and joints
A18,09,A1809,Other musculoskeletal tuberculosis,Tuberculosis of bones and joints
A18,10,A1810,"Tuberculosis of genitourinary system, unspecified",Tuberculosis of genitourinary system
A18,11,A1811,Tuberculosis of kidney and ureter,Tuberculosis of genitourinary system
A18,12,A1812,Tuberculosis of bladder,Tuberculosis of genitourinary system
A18,13,A1813,Tuberculosis of other urinary organs,Tuberculosis of genitourinary system
A18,14,A1814,Tuberculosis of prostate,Tuberculosis of genitourinary system
A18,15,A1815,Tuberculosis of other male genital organs,Tuberculosis of genitourinary system
A18,16,A1816,Tuberculosis of cervix,Tuberculosis of genitourinary system
A18,17,A1817,Tuberculous female pelvic inflammatory disease,Tuberculosis of genitourinary system
A18,18,A1818,Tuberculosis of other female genital organs,Tuberculosis of genitourinary system
A18,2,A182,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy
A18,31,A1831,Tuberculous peritonitis,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18,32,A1832,Tuberculous enteritis,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18,39,A1839,Retroperitoneal tuberculosis,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18,4,A184,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue
A18,50,A1850,"Tuberculosis of eye, unspecified",Tuberculosis of eye
A18,51,A1851,Tuberculous episcleritis,Tuberculosis of eye
A18,52,A1852,Tuberculous keratitis,Tuberculosis of eye
A18,53,A1853,Tuberculous chorioretinitis,Tuberculosis of eye
A18,54,A1854,Tuberculous iridocyclitis,Tuberculosis of eye
A18,59,A1859,Other tuberculosis of eye,Tuberculosis of eye
A18,6,A186,Tuberculosis of (inner) (middle) ear,Tuberculosis of (inner) (middle) ear
A18,7,A187,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands
A18,81,A1881,Tuberculosis of thyroid gland,Tuberculosis of other specified organs
A18,82,A1882,Tuberculosis of other endocrine glands,Tuberculosis of other specified organs
A18,83,A1883,"Tuberculosis of digestive tract organs, not elsewhere classified",Tuberculosis of other specified organs
A18,84,A1884,Tuberculosis of heart,Tuberculosis of other specified organs
A18,85,A1885,Tuberculosis of spleen,Tuberculosis of other specified organs
A18,89,A1889,Tuberculosis of other sites,Tuberculosis of other specified organs
A19,0,A190,Acute miliary tuberculosis of a single specified site,Miliary tuberculosis
A19,1,A191,Acute miliary tuberculosis of multiple sites,Miliary tuberculosis
A19,2,A192,"Acute miliary tuberculosis, unspecified",Miliary tuberculosis
A19,8,A198,Other miliary tuberculosis,Miliary tuberculosis
A19,9,A199,"Miliary tuberculosis, unspecified",Miliary tuberculosis
A20,0,A200,Bubonic plague,Plague
A20,1,A201,Cellulocutaneous plague,Plague
A20,2,A202,Pneumonic plague,Plague
A20,3,A203,Plague meningitis,Plague
A20,7,A207,Septicemic plague,Plague
A20,8,A208,Other forms of plague,Plague
A20,9,A209,"Plague, unspecified",Plague
A21,0,A210,Ulceroglandular tularemia,Tularemia
A21,1,A211,Oculoglandular tularemia,Tularemia
A21,2,A212,Pulmonary tularemia,Tularemia
A21,3,A213,Gastrointestinal tularemia,Tularemia
A21,7,A217,Generalized tularemia,Tularemia
A21,8,A218,Other forms of tularemia,Tularemia
A21,9,A219,"Tularemia, unspecified",Tularemia
A22,0,A220,Cutaneous anthrax,Anthrax
A22,1,A221,Pulmonary anthrax,Anthrax
A22,2,A222,Gastrointestinal anthrax,Anthrax
A22,7,A227,Anthrax sepsis,Anthrax
A22,8,A228,Other forms of anthrax,Anthrax
A22,9,A229,"Anthrax, unspecified",Anthrax
A23,0,A230,Brucellosis due to Brucella melitensis,Brucellosis
A23,1,A231,Brucellosis due to Brucella abortus,Brucellosis
A23,2,A232,Brucellosis due to Brucella suis,Brucellosis
A23,3,A233,Brucellosis due to Brucella canis,Brucellosis
A23,8,A238,Other brucellosis,Brucellosis
A23,9,A239,"Brucellosis, unspecified",Brucellosis
A24,0,A240,Glanders,Glanders and melioidosis
A24,1,A241,Acute and fulminating melioidosis,Glanders and melioidosis
A24,2,A242,Subacute and chronic melioidosis,Glanders and melioidosis
A24,3,A243,Other melioidosis,Glanders and melioidosis
A24,9,A249,"Melioidosis, unspecified",Glanders and melioidosis
A25,0,A250,Spirillosis,Rat-bite fevers
A25,1,A251,Streptobacillosis,Rat-bite fevers
A25,9,A259,"Rat-bite fever, unspecified",Rat-bite fevers
A26,0,A260,Cutaneous erysipeloid,Erysipeloid
A26,7,A267,Erysipelothrix sepsis,Erysipeloid
A26,8,A268,Other forms of erysipeloid,Erysipeloid
A26,9,A269,"Erysipeloid, unspecified",Erysipeloid
A27,0,A270,Leptospirosis icterohemorrhagica,Leptospirosis
A27,81,A2781,Aseptic meningitis in leptospirosis,Other forms of leptospirosis
A27,89,A2789,Other forms of leptospirosis,Other forms of leptospirosis
A27,9,A279,"Leptospirosis, unspecified","Leptospirosis, unspecified"
A28,0,A280,Pasteurellosis,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,1,A281,Cat-scratch disease,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,2,A282,Extraintestinal yersiniosis,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,8,A288,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified"
A28,9,A289,"Zoonotic bacterial disease, unspecified","Other zoonotic bacterial diseases, not elsewhere classified"
A30,0,A300,Indeterminate leprosy,Leprosy [Hansen's disease]
A30,1,A301,Tuberculoid leprosy,Leprosy [Hansen's disease]
A30,2,A302,Borderline tuberculoid leprosy,Leprosy [Hansen's disease]
A30,3,A303,Borderline leprosy,Leprosy [Hansen's disease]
A30,4,A304,Borderline lepromatous leprosy,Leprosy [Hansen's disease]
A30,5,A305,Lepromatous leprosy,Leprosy [Hansen's disease]
A30,8,A308,Other forms of leprosy,Leprosy [Hansen's disease]
A30,9,A309,"Leprosy, unspecified",Leprosy [Hansen's disease]
A31,0,A310,Pulmonary mycobacterial infection,Infection due to other mycobacteria
A31,1,A311,Cutaneous mycobacterial infection,Infection due to other mycobacteria
A31,2,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),Infection due to other mycobacteria
A31,8,A318,Other mycobacterial infections,Infection due to other mycobacteria
A31,9,A319,"Mycobacterial infection, unspecified",Infection due to other mycobacteria
A32,0,A320,Cutaneous listeriosis,Listeriosis
A32,11,A3211,Listerial meningitis,Listerial meningitis and meningoencephalitis
A32,12,A3212,Listerial meningoencephalitis,Listerial meningitis and meningoencephalitis
A32,7,A327,Listerial sepsis,Listerial sepsis
A32,81,A3281,Oculoglandular listeriosis,Other forms of listeriosis
A32,82,A3282,Listerial endocarditis,Other forms of listeriosis
A32,89,A3289,Other forms of listeriosis,Other forms of listeriosis
A32,9,A329,"Listeriosis, unspecified","Listeriosis, unspecified"
A33,,A33,Tetanus neonatorum,Tetanus neonatorum
A34,,A34,Obstetrical tetanus,Obstetrical tetanus
A35,,A35,Other tetanus,Other tetanus
A36,0,A360,Pharyngeal diphtheria,Diphtheria
A36,1,A361,Nasopharyngeal diphtheria,Diphtheria
A36,2,A362,Laryngeal diphtheria,Diphtheria
A36,3,A363,Cutaneous diphtheria,Diphtheria
A36,81,A3681,Diphtheritic cardiomyopathy,Other diphtheria
A36,82,A3682,Diphtheritic radiculomyelitis,Other diphtheria
A36,83,A3683,Diphtheritic polyneuritis,Other diphtheria
A36,84,A3684,Diphtheritic tubulo-interstitial nephropathy,Other diphtheria
A36,85,A3685,Diphtheritic cystitis,Other diphtheria
A36,86,A3686,Diphtheritic conjunctivitis,Other diphtheria
A36,89,A3689,Other diphtheritic complications,Other diphtheria
A36,9,A369,"Diphtheria, unspecified","Diphtheria, unspecified"
A37,00,A3700,Whooping cough due to Bordetella pertussis without pneumonia,Whooping cough due to Bordetella pertussis
A37,01,A3701,Whooping cough due to Bordetella pertussis with pneumonia,Whooping cough due to Bordetella pertussis
A37,10,A3710,Whooping cough due to Bordetella parapertussis without pneumonia,Whooping cough due to Bordetella parapertussis
A37,11,A3711,Whooping cough due to Bordetella parapertussis with pneumonia,Whooping cough due to Bordetella parapertussis
A37,80,A3780,Whooping cough due to other Bordetella species without pneumonia,Whooping cough due to other Bordetella species
A37,81,A3781,Whooping cough due to other Bordetella species with pneumonia,Whooping cough due to other Bordetella species
A37,90,A3790,"Whooping cough, unspecified species without pneumonia","Whooping cough, unspecified species"
A37,91,A3791,"Whooping cough, unspecified species with pneumonia","Whooping cough, unspecified species"
A38,0,A380,Scarlet fever with otitis media,Scarlet fever
A38,1,A381,Scarlet fever with myocarditis,Scarlet fever
A38,8,A388,Scarlet fever with other complications,Scarlet fever
A38,9,A389,"Scarlet fever, uncomplicated",Scarlet fever
A39,0,A390,Meningococcal meningitis,Meningococcal infection
A39,1,A391,Waterhouse-Friderichsen syndrome,Meningococcal infection
A39,2,A392,Acute meningococcemia,Meningococcal infection
A39,3,A393,Chronic meningococcemia,Meningococcal infection
A39,4,A394,"Meningococcemia, unspecified",Meningococcal infection
A39,50,A3950,"Meningococcal carditis, unspecified",Meningococcal heart disease
A39,51,A3951,Meningococcal endocarditis,Meningococcal heart disease
A39,52,A3952,Meningococcal myocarditis,Meningococcal heart disease
A39,53,A3953,Meningococcal pericarditis,Meningococcal heart disease
A39,81,A3981,Meningococcal encephalitis,Other meningococcal infections
A39,82,A3982,Meningococcal retrobulbar neuritis,Other meningococcal infections
A39,83,A3983,Meningococcal arthritis,Other meningococcal infections
A39,84,A3984,Postmeningococcal arthritis,Other meningococcal infections
A39,89,A3989,Other meningococcal infections,Other meningococcal infections
A39,9,A399,"Meningococcal infection, unspecified","Meningococcal infection, unspecified"
A40,0,A400,"Sepsis due to streptococcus, group A",Streptococcal sepsis
A40,1,A401,"Sepsis due to streptococcus, group B",Streptococcal sepsis
A40,3,A403,Sepsis due to Streptococcus pneumoniae,Streptococcal sepsis
A40,8,A408,Other streptococcal sepsis,Streptococcal sepsis
A40,9,A409,"Streptococcal sepsis, unspecified",Streptococcal sepsis
A41,01,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,Sepsis due to Staphylococcus aureus
A41,02,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,Sepsis due to Staphylococcus aureus
A41,1,A411,Sepsis due to other specified staphylococcus,Sepsis due to other specified staphylococcus
A41,2,A412,Sepsis due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus
A41,3,A413,Sepsis due to Hemophilus influenzae,Sepsis due to Hemophilus influenzae
A41,4,A414,Sepsis due to anaerobes,Sepsis due to anaerobes
A41,50,A4150,"Gram-negative sepsis, unspecified",Sepsis due to other Gram-negative organisms
A41,51,A4151,Sepsis due to Escherichia coli [E. coli],Sepsis due to other Gram-negative organisms
A41,52,A4152,Sepsis due to Pseudomonas,Sepsis due to other Gram-negative organisms
A41,53,A4153,Sepsis due to Serratia,Sepsis due to other Gram-negative organisms
A41,59,A4159,Other Gram-negative sepsis,Sepsis due to other Gram-negative organisms
A41,81,A4181,Sepsis due to Enterococcus,Other specified sepsis
A41,89,A4189,Other specified sepsis,Other specified sepsis
A41,9,A419,"Sepsis, unspecified organism","Sepsis, unspecified organism"
A42,0,A420,Pulmonary actinomycosis,Actinomycosis
A42,1,A421,Abdominal actinomycosis,Actinomycosis
A42,2,A422,Cervicofacial actinomycosis,Actinomycosis
A42,7,A427,Actinomycotic sepsis,Actinomycosis
A42,81,A4281,Actinomycotic meningitis,Other forms of actinomycosis
A42,82,A4282,Actinomycotic encephalitis,Other forms of actinomycosis
A42,89,A4289,Other forms of actinomycosis,Other forms of actinomycosis
A42,9,A429,"Actinomycosis, unspecified","Actinomycosis, unspecified"
A43,0,A430,Pulmonary nocardiosis,Nocardiosis
A43,1,A431,Cutaneous nocardiosis,Nocardiosis
A43,8,A438,Other forms of nocardiosis,Nocardiosis
A43,9,A439,"Nocardiosis, unspecified",Nocardiosis
A44,0,A440,Systemic bartonellosis,Bartonellosis
A44,1,A441,Cutaneous and mucocutaneous bartonellosis,Bartonellosis
A44,8,A448,Other forms of bartonellosis,Bartonellosis
A44,9,A449,"Bartonellosis, unspecified",Bartonellosis
A46,,A46,Erysipelas,Erysipelas
A48,0,A480,Gas gangrene,"Other bacterial diseases, not elsewhere classified"
A48,1,A481,Legionnaires' disease,"Other bacterial diseases, not elsewhere classified"
A48,2,A482,Nonpneumonic Legionnaires' disease [Pontiac fever],"Other bacterial diseases, not elsewhere classified"
A48,3,A483,Toxic shock syndrome,"Other bacterial diseases, not elsewhere classified"
A48,4,A484,Brazilian purpuric fever,"Other bacterial diseases, not elsewhere classified"
A48,51,A4851,Infant botulism,Other specified botulism
A48,52,A4852,Wound botulism,Other specified botulism
A48,8,A488,Other specified bacterial diseases,Other specified bacterial diseases
A49,01,A4901,"Methicillin susceptible Staphylococcus aureus infection, unspecified site","Staphylococcal infection, unspecified site"
A49,02,A4902,"Methicillin resistant Staphylococcus aureus infection, unspecified site","Staphylococcal infection, unspecified site"
A49,1,A491,"Streptococcal infection, unspecified site","Streptococcal infection, unspecified site"
A49,2,A492,"Hemophilus influenzae infection, unspecified site","Hemophilus influenzae infection, unspecified site"
A49,3,A493,"Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site"
A49,8,A498,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site
A49,9,A499,"Bacterial infection, unspecified","Bacterial infection, unspecified"
A50,01,A5001,Early congenital syphilitic oculopathy,"Early congenital syphilis, symptomatic"
A50,02,A5002,Early congenital syphilitic osteochondropathy,"Early congenital syphilis, symptomatic"
A50,03,A5003,Early congenital syphilitic pharyngitis,"Early congenital syphilis, symptomatic"
A50,04,A5004,Early congenital syphilitic pneumonia,"Early congenital syphilis, symptomatic"
A50,05,A5005,Early congenital syphilitic rhinitis,"Early congenital syphilis, symptomatic"
A50,06,A5006,Early cutaneous congenital syphilis,"Early congenital syphilis, symptomatic"
A50,07,A5007,Early mucocutaneous congenital syphilis,"Early congenital syphilis, symptomatic"
A50,08,A5008,Early visceral congenital syphilis,"Early congenital syphilis, symptomatic"
A50,09,A5009,"Other early congenital syphilis, symptomatic","Early congenital syphilis, symptomatic"
A50,1,A501,"Early congenital syphilis, latent","Early congenital syphilis, latent"
A50,2,A502,"Early congenital syphilis, unspecified","Early congenital syphilis, unspecified"
A50,30,A5030,"Late congenital syphilitic oculopathy, unspecified",Late congenital syphilitic oculopathy
A50,31,A5031,Late congenital syphilitic interstitial keratitis,Late congenital syphilitic oculopathy
A50,32,A5032,Late congenital syphilitic chorioretinitis,Late congenital syphilitic oculopathy
A50,39,A5039,Other late congenital syphilitic oculopathy,Late congenital syphilitic oculopathy
A50,40,A5040,"Late congenital neurosyphilis, unspecified",Late congenital neurosyphilis [juvenile neurosyphilis]
A50,41,A5041,Late congenital syphilitic meningitis,Late congenital neurosyphilis [juvenile neurosyphilis]
A50,42,A5042,Late congenital syphilitic encephalitis,Late congenital neurosyphilis [juvenile neurosyphilis]
A50,43,A5043,Late congenital syphilitic polyneuropathy,Late congenital neurosyphilis [juvenile neurosyphilis]
A50,44,A5044,Late congenital syphilitic optic nerve atrophy,Late congenital neurosyphilis [juvenile neurosyphilis]
A50,45,A5045,Juvenile general paresis,Late congenital neurosyphilis [juvenile neurosyphilis]
A50,49,A5049,Other late congenital neurosyphilis,Late congenital neurosyphilis [juvenile neurosyphilis]
A50,51,A5051,Clutton's joints,"Other late congenital syphilis, symptomatic"
A50,52,A5052,Hutchinson's teeth,"Other late congenital syphilis, symptomatic"
A50,53,A5053,Hutchinson's triad,"Other late congenital syphilis, symptomatic"
A50,54,A5054,Late congenital cardiovascular syphilis,"Other late congenital syphilis, symptomatic"
A50,55,A5055,Late congenital syphilitic arthropathy,"Other late congenital syphilis, symptomatic"
A50,56,A5056,Late congenital syphilitic osteochondropathy,"Other late congenital syphilis, symptomatic"
A50,57,A5057,Syphilitic saddle nose,"Other late congenital syphilis, symptomatic"
A50,59,A5059,"Other late congenital syphilis, symptomatic","Other late congenital syphilis, symptomatic"
A50,6,A506,"Late congenital syphilis, latent","Late congenital syphilis, latent"
A50,7,A507,"Late congenital syphilis, unspecified","Late congenital syphilis, unspecified"
A50,9,A509,"Congenital syphilis, unspecified","Congenital syphilis, unspecified"
A51,0,A510,Primary genital syphilis,Early syphilis
A51,1,A511,Primary anal syphilis,Early syphilis
A51,2,A512,Primary syphilis of other sites,Early syphilis
A51,31,A5131,Condyloma latum,Secondary syphilis of skin and mucous membranes
A51,32,A5132,Syphilitic alopecia,Secondary syphilis of skin and mucous membranes
A51,39,A5139,Other secondary syphilis of skin,Secondary syphilis of skin and mucous membranes
A51,41,A5141,Secondary syphilitic meningitis,Other secondary syphilis
A51,42,A5142,Secondary syphilitic female pelvic disease,Other secondary syphilis
A51,43,A5143,Secondary syphilitic oculopathy,Other secondary syphilis
A51,44,A5144,Secondary syphilitic nephritis,Other secondary syphilis
A51,45,A5145,Secondary syphilitic hepatitis,Other secondary syphilis
A51,46,A5146,Secondary syphilitic osteopathy,Other secondary syphilis
A51,49,A5149,Other secondary syphilitic conditions,Other secondary syphilis
A51,5,A515,"Early syphilis, latent","Early syphilis, latent"
A51,9,A519,"Early syphilis, unspecified","Early syphilis, unspecified"
A52,00,A5200,"Cardiovascular syphilis, unspecified",Cardiovascular and cerebrovascular syphilis
A52,01,A5201,Syphilitic aneurysm of aorta,Cardiovascular and cerebrovascular syphilis
A52,02,A5202,Syphilitic aortitis,Cardiovascular and cerebrovascular syphilis
A52,03,A5203,Syphilitic endocarditis,Cardiovascular and cerebrovascular syphilis
A52,04,A5204,Syphilitic cerebral arteritis,Cardiovascular and cerebrovascular syphilis
A52,05,A5205,Other cerebrovascular syphilis,Cardiovascular and cerebrovascular syphilis
A52,06,A5206,Other syphilitic heart involvement,Cardiovascular and cerebrovascular syphilis
A52,09,A5209,Other cardiovascular syphilis,Cardiovascular and cerebrovascular syphilis
A52,10,A5210,"Symptomatic neurosyphilis, unspecified",Symptomatic neurosyphilis
A52,11,A5211,Tabes dorsalis,Symptomatic neurosyphilis
A52,12,A5212,Other cerebrospinal syphilis,Symptomatic neurosyphilis
A52,13,A5213,Late syphilitic meningitis,Symptomatic neurosyphilis
A52,14,A5214,Late syphilitic encephalitis,Symptomatic neurosyphilis
A52,15,A5215,Late syphilitic neuropathy,Symptomatic neurosyphilis
A52,16,A5216,Charcot's arthropathy (tabetic),Symptomatic neurosyphilis
A52,17,A5217,General paresis,Symptomatic neurosyphilis
A52,19,A5219,Other symptomatic neurosyphilis,Symptomatic neurosyphilis
A52,2,A522,Asymptomatic neurosyphilis,Asymptomatic neurosyphilis
A52,3,A523,"Neurosyphilis, unspecified","Neurosyphilis, unspecified"
A52,71,A5271,Late syphilitic oculopathy,Other symptomatic late syphilis
A52,72,A5272,Syphilis of lung and bronchus,Other symptomatic late syphilis
A52,73,A5273,Symptomatic late syphilis of other respiratory organs,Other symptomatic late syphilis
A52,74,A5274,Syphilis of liver and other viscera,Other symptomatic late syphilis
A52,75,A5275,Syphilis of kidney and ureter,Other symptomatic late syphilis
A52,76,A5276,Other genitourinary symptomatic late syphilis,Other symptomatic late syphilis
A52,77,A5277,Syphilis of bone and joint,Other symptomatic late syphilis
A52,78,A5278,Syphilis of other musculoskeletal tissue,Other symptomatic late syphilis
A52,79,A5279,Other symptomatic late syphilis,Other symptomatic late syphilis
A52,8,A528,"Late syphilis, latent","Late syphilis, latent"
A52,9,A529,"Late syphilis, unspecified","Late syphilis, unspecified"
A53,0,A530,"Latent syphilis, unspecified as early or late",Other and unspecified syphilis
A53,9,A539,"Syphilis, unspecified",Other and unspecified syphilis
A54,00,A5400,"Gonococcal infection of lower genitourinary tract, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54,01,A5401,"Gonococcal cystitis and urethritis, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54,02,A5402,"Gonococcal vulvovaginitis, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54,03,A5403,"Gonococcal cervicitis, unspecified",Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54,09,A5409,Other gonococcal infection of lower genitourinary tract,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54,1,A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54,21,A5421,Gonococcal infection of kidney and ureter,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A54,22,A5422,Gonococcal prostatitis,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A54,23,A5423,Gonococcal infection of other male genital organs,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A54,24,A5424,Gonococcal female pelvic inflammatory disease,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A54,29,A5429,Other gonococcal genitourinary infections,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A54,30,A5430,"Gonococcal infection of eye, unspecified",Gonococcal infection of eye
